name,address,city,phone,source_url,name_clean,address_clean,name_blocks
MHPR Public Relations Consultants,"59 Van Praagh Avenue, Milton Park, Harare, Zimbabwe",Harare,"+263-4-251538-40, 798760/1, 700052",https://www.zimplaza.co.zw/listing/mhpr-public-relations-consultants/,mhpr public relations consultants,59 van praagh avenue milton park harare zimbabwe,"{'public relations consultants', 'mhpr public relations'}"
Mercy Printers Pvt (Ltd),"Harare, Zimbabwe",Harare,0716 063 192,https://www.zimplaza.co.zw/listing/mercy-printers-pvt-ltd/,mercy printers pvt ltd,harare zimbabwe,"{'printers pvt ltd', 'mercy printers pvt'}"
Tynserv Distributors Pvt Ltd,"28-40 Leopold Takawira Street, Harare, Zimbabwe",Harare,(0242) 770380 / 81,https://www.zimplaza.co.zw/listing/tynserv-distributors-pvt-ltd/,tynserv distributors pvt ltd,2840 leopold takawira street harare zimbabwe,"{'tynserv distributors pvt', 'distributors pvt ltd'}"
Social Media Konnect,"23 Oxford Avenue, Harare, Zimbabwe",Harare,+263774509087,https://www.zimplaza.co.zw/listing/social-media-konnect/,social media konnect,23 oxford avenue harare zimbabwe,{'social media konnect'}
Base Entertainment Zimbabwe,"128 Hazelmere Close, Borrowdale, Harare, Zimbabwe",Harare,00263773637728,https://www.zimplaza.co.zw/listing/base-entertainment-zimbabwe/,base entertainment zimbabwe,128 hazelmere close borrowdale harare zimbabwe,{'base entertainment zimbabwe'}
Orchestra Dendera Kings,"2-30th Avenue, Haig Park, Mabelreign, Harare, Zimbabwe",Harare,+263773461455,https://www.zimplaza.co.zw/listing/orchestra-dendera-kings/,orchestra dendera kings,230th avenue haig park mabelreign harare zimbabwe,{'orchestra dendera kings'}
Texcolour Pvt Ltd,"8 Neil Avenue, Msasa, Harare, Zimbabwe",Harare,+263 4 487368,https://www.zimplaza.co.zw/listing/texcolour-pvt-ltd-2/,texcolour pvt ltd,8 neil avenue msasa harare zimbabwe,{'texcolour pvt ltd'}
Jugo Freight & Transport,"110 Herbert Chitepo Street, Mutare, Zimbabwe",Mutare,"020 66127, +263772413823, +263774 744 003, +263774092006",https://www.zimplaza.co.zw/listing/jugo-freight-transport/,jugo freight transport,110 herbert chitepo street mutare zimbabwe,{'jugo freight transport'}
The Music Shop,"Shop 56, 2nd Floor, Haddon & Sly Complex, Fife Street, Bulawayo, Zimbabwe",Bulawayo,"+263 773 204 292, +263 773 204 295",https://www.zimplaza.co.zw/listing/the-music-shop/,the music shop,shop 56 2nd floor haddon sly complex fife street bulawayo zimbabwe,{'the music shop'}
Elgiboh Travel Agency,"No. 3 Foresty Commission Building, 71 Fife Street, Bulawayo, Zimbabwe",Bulawayo,+263 9 886 497,https://www.zimplaza.co.zw/listing/elgiboh-travel-agency/,elgiboh travel agency,no 3 foresty commission building 71 fife street bulawayo zimbabwe,{'elgiboh travel agency'}
Bonjour-Zim Events and Entertainment,"16 George Road, Hatfield, Harare, Zimbabwe",Harare,"0719867107, 0785153753",https://www.zimplaza.co.zw/listing/bonjour-zim-events-and-entertainment/,bonjourzim events and entertainment,16 george road hatfield harare zimbabwe,"{'events and entertainment', 'bonjourzim events and'}"
Quality Insurance Company (Pvt) Ltd,"98 Palmer Road, Milton Park, Harare, Zimbabwe",Harare,04 778 147,https://www.zimplaza.co.zw/listing/quality-insurance-company-pvt-ltd/,quality insurance company pvt ltd,98 palmer road milton park harare zimbabwe,"{'insurance company pvt', 'quality insurance company', 'company pvt ltd'}"
Interface Research & Insights,"36 Edwards Road, Harare, Zimbabwe",Harare,+263771128157,https://www.zimplaza.co.zw/listing/interface-research-insights/,interface research insights,36 edwards road harare zimbabwe,{'interface research insights'}
Center for GIS Applications,"30 Golden Stairs Road, Avondale, Harare, Zimbabwe",Harare,+263775031477,https://www.zimplaza.co.zw/listing/center-for-gis-applications/,center for gis applications,30 golden stairs road avondale harare zimbabwe,"{'for gis applications', 'center for gis'}"
Baobab Reinsurance(pvt) Ltd,"8th & 9th Floor Baobab Centre, Harare, Zimbabwe",Harare,09 772 963-9,https://www.zimplaza.co.zw/listing/baobab-reinsurancepvt-ltd/,baobab reinsurancepvt ltd,8th 9th floor baobab centre harare zimbabwe,{'baobab reinsurancepvt ltd'}
Shalom Fiscal Consultants,"41 Central Avenue, Harare, Zimbabwe",Harare,"04-701901, 0772204135",https://www.zimplaza.co.zw/listing/shalom-fiscal-consultants/,shalom fiscal consultants,41 central avenue harare zimbabwe,{'shalom fiscal consultants'}
SEDCO – Small Enterprises Development Corporation,"SEDCO House170 Chinhoyi Street CBD , P.O.Box 3, Harare, Zimbabwe",Harare,+263 4 792821,https://www.zimplaza.co.zw/listing/sedco-small-enterprises-development-corporation/,sedco small enterprises development corporation,sedco house170 chinhoyi street cbd pobox 3 harare zimbabwe,"{'enterprises development corporation', 'sedco small enterprises', 'small enterprises development'}"
Impact Carpets & Curtains,"109 Chinhoyi Street, Vassan Building Suite #3 First Floor, Harare, Zimbabwe",Harare,"0242777 183, 077525 1552, 0773022986, 0774419299",https://www.zimplaza.co.zw/listing/impact-carpets-curtains/,impact carpets curtains,109 chinhoyi street vassan building suite 3 first floor harare zimbabwe,{'impact carpets curtains'}
Boura Enterprises (Pvt) Ltd.,"74 Twentydales Road, Hatfield, Harare, Zimbabwe",Harare,"+263 - 242 - 2934287, 0717002252, 0733260110, 0779693501",https://www.zimplaza.co.zw/listing/boura-enterprises-pvt-ltd/,boura enterprises pvt ltd,74 twentydales road hatfield harare zimbabwe,"{'boura enterprises pvt', 'enterprises pvt ltd'}"
Swimming Pool Guru,"114 Coronation Avenue, Greendale, Harare, Zimbabwe",Harare,"+263772325358, +263772325358",https://www.zimplaza.co.zw/listing/swimming-pool-guru/,swimming pool guru,114 coronation avenue greendale harare zimbabwe,{'swimming pool guru'}
Catering Solutions & Events,"Unit 7, Metro Mini Factories, No. 2 J Chinamano Rd, Bulawayo, Zimbabwe",Bulawayo,+263 772 851 703,https://www.zimplaza.co.zw/listing/catering-solutions-events-2/,catering solutions events,unit 7 metro mini factories no 2 j chinamano rd bulawayo zimbabwe,{'catering solutions events'}
Primson Management Services,"4 Rembrandt Lane, Strathaven, Harare, Zimbabwe",Harare,04 304 462,https://www.zimplaza.co.zw/listing/primson-management-services/,primson management services,4 rembrandt lane strathaven harare zimbabwe,{'primson management services'}
Ramsey and Hilton Digital Marketing Agency,"Suit 410 4th Floor George Silundika Avenue Morgan House, Harare, Zimbabwe",Harare,"(04)255637, 0777139535",https://www.zimplaza.co.zw/listing/ramsey-and-hilton-digital-marketing-agency/,ramsey and hilton digital marketing agency,suit 410 4th floor george silundika avenue morgan house harare zimbabwe,"{'digital marketing agency', 'hilton digital marketing', 'ramsey and hilton', 'and hilton digital'}"
TOTS ACADEMY INTERNATIONAL,"9 Cardinals Close, (off Drew Road), Rolf Valley, Chisipite, Harare, Zimbabwe",Harare,:(+263) 0242 496472,https://www.zimplaza.co.zw/listing/tots-academy-international/,tots academy international,9 cardinals close off drew road rolf valley chisipite harare zimbabwe,{'tots academy international'}
Oakway Investments P/L,"14 Whites Way, Msasa, Harare, Zimbabwe",Harare,"+263 (242) 446336 486395, +263 (0)777057313, (0)777057309, (0)777311840",https://www.zimplaza.co.zw/listing/oakway-investments-p-l/,oakway investments pl,14 whites way msasa harare zimbabwe,{'oakway investments pl'}
Gifford High School,"Matopos Rd, Famona, Bulawayo, Zimbabwe",Bulawayo,+263 29 68245,https://www.zimplaza.co.zw/listing/gifford-high-school/,gifford high school,matopos rd famona bulawayo zimbabwe,{'gifford high school'}
Dindingwe Advertising & Media,"18203 Dan Judson Road, Milton Park, Harare, Zimbabwe",Harare,"08644101174, 0773493619, 0739851873",https://www.zimplaza.co.zw/listing/dindingwe-advertising-media/,dindingwe advertising media,18203 dan judson road milton park harare zimbabwe,{'dindingwe advertising media'}
Lynns guest house,"300 elvington road ,Burnside, Bulawayo, Zimbabwe",Bulawayo,"0292240927, 0772253705",https://www.zimplaza.co.zw/listing/lynns-guest-house/,lynns guest house,300 elvington road burnside bulawayo zimbabwe,{'lynns guest house'}
Fivebulls Travel Tours & Safaris,"176 longcheng plaza murtley bend and cnr samora machel belvedere, Harare, Zimbabwe",Harare,"+263 4 0776032834, 0713000557, 0731000556, 740562",https://www.zimplaza.co.zw/listing/fivebulls-travel-tours-safaris/,fivebulls travel tours safaris,176 longcheng plaza murtley bend and cnr samora machel belvedere harare zimbabwe,"{'travel tours safaris', 'fivebulls travel tours'}"
Crime Guard Security Services,"2801 Lenana Park, Harare, Zimbabwe.",Harare,077 434 2327,https://www.zimplaza.co.zw/listing/crime-guard-security-services/,crime guard security services,2801 lenana park harare zimbabwe,"{'crime guard security', 'guard security services'}"
Emilystevens Events AND Management,"69 Samora Machel Avenue opposite Reserve Bank Of Zimbabwe, Harare",Harare,04250898,https://www.zimplaza.co.zw/listing/emilystevens-events-and-management/,emilystevens events and management,69 samora machel avenue opposite reserve bank of zimbabwe harare,"{'events and management', 'emilystevens events and'}"
Hanell Environmental Consultants,"27 Jason Moyo Street, Bulawayo, Zimbabwe",Bulawayo,+263773208002,https://www.zimplaza.co.zw/listing/hanell-environmental-consultants/,hanell environmental consultants,27 jason moyo street bulawayo zimbabwe,{'hanell environmental consultants'}
Golden Mile Hotel,"89 Cardinal Close, Chicago, Kwekwe, Zimbabwe",Kwekwe,"+263 55 23711/3, +263772152825",https://www.zimplaza.co.zw/listing/golden-mile-hotel/,golden mile hotel,89 cardinal close chicago kwekwe zimbabwe,{'golden mile hotel'}
IMPACT AUDIO STUDIOS,"Rm 7, 1st Fl, Manjoro Complex, Makoni Shopping Centre, Chitungwiza, Zimbabwe",Chitungwiza,"002634585371, 00263772880402",https://www.zimplaza.co.zw/listing/impact-audio-studios/,impact audio studios,rm 7 1st fl manjoro complex makoni shopping centre chitungwiza zimbabwe,{'impact audio studios'}
Chaftop Animation Studio,"1356 Pelandaba West, Bulawayo, Zimbabwe",Bulawayo,0782699623,https://www.zimplaza.co.zw/listing/chaftop-animation-studio/,chaftop animation studio,1356 pelandaba west bulawayo zimbabwe,{'chaftop animation studio'}
Aqua Fire and Safety,"162 Fife Avenue, Harare, Zimbabwe",Harare,+263777720005,https://www.zimplaza.co.zw/listing/aqua-fire-and-safety/,aqua fire and safety,162 fife avenue harare zimbabwe,"{'aqua fire and', 'fire and safety'}"
Self Help Development Foundation (SHDF),"17 Nirvana Road, Hatfield, Harare, Zimbabwe",Harare,"0772723224, 0777821579",https://www.zimplaza.co.zw/listing/self-help-development-foundation-shdf/,self help development foundation shdf,17 nirvana road hatfield harare zimbabwe,"{'help development foundation', 'self help development', 'development foundation shdf'}"
Saatchi & Saatchi Zimbabwe (pvt) Ltd,"4 Beit Avenue, Milton Park, Harare, Zimbabwe",Harare,04 796 328/795 308,https://www.zimplaza.co.zw/listing/saatchi-saatchi-zimbabwe-pvt-ltd/,saatchi saatchi zimbabwe pvt ltd,4 beit avenue milton park harare zimbabwe,"{'zimbabwe pvt ltd', 'saatchi saatchi zimbabwe', 'saatchi zimbabwe pvt'}"
The Print Shop,"Sinemane Shopping Centre, Victoria Falls, Zimbabwe",Victoria Falls,"013-46241, 0713076113",https://www.zimplaza.co.zw/listing/the-print-shop/,the print shop,sinemane shopping centre victoria falls zimbabwe,{'the print shop'}
A2impact Ad Signs,"8 Lonsdale Road, Avondale, Harare, Zimbabwe",Harare,"0712 103545, 0712 103546, 0785 669959",https://www.zimplaza.co.zw/listing/a2impact-ad-signs/,a2impact ad signs,8 lonsdale road avondale harare zimbabwe,{'a2impact ad signs'}
BOAR PUMP SERVICES,"14 Tweed Road, Eastlea, Harare, Zimbabwe",Harare,"0242 - 495913, 0772349011",https://www.zimplaza.co.zw/listing/boar-pump-services/,boar pump services,14 tweed road eastlea harare zimbabwe,{'boar pump services'}
Waterwarehouse (PVT) Ltd.,"35 McMeekan Road, Milton Park, Harare, Zimbabwe",Harare,"+2638644233620, +263713666226, +263712511108",https://www.zimplaza.co.zw/listing/waterwarehouse-pvt-ltd/,waterwarehouse pvt ltd,35 mcmeekan road milton park harare zimbabwe,{'waterwarehouse pvt ltd'}
Path-Way Travel And Tours,"7 Wheeler Avenue, Eastlea, Harare, Zimbabwe",Harare,"(0242) 747583, 747682, 0772962119, 0775455367, 0783012140",https://www.zimplaza.co.zw/listing/path-way-travel-and-tours/,pathway travel and tours,7 wheeler avenue eastlea harare zimbabwe,"{'pathway travel and', 'travel and tours'}"
Mana Pools National Park,"Mana Pools National Park, Zimbabwe",,0242 706 077,https://www.zimplaza.co.zw/listing/mana-pools-national-park/,mana pools national park,mana pools national park zimbabwe,"{'mana pools national', 'pools national park'}"
Nyanga National Park,"Sanyatwe, Zimbabwe",,"+263 (242) 706077, +263 (242) 706078",https://www.zimplaza.co.zw/listing/nyanga-national-park/,nyanga national park,sanyatwe zimbabwe,{'nyanga national park'}
Embassy of the Russian Federation,"70 Fife Avenue, PO Box 4250, Harare, Zimbabwe",Harare,"+ 263-4-701-957, + 263-772-128-042",https://www.zimplaza.co.zw/listing/embassy-of-the-russian-federation/,embassy of the russian federation,70 fife avenue po box 4250 harare zimbabwe,"{'embassy of the', 'of the russian', 'the russian federation'}"
Black Rhino Safaris,"43a Napier Avenue, Bulawayo, Zimbabwe",Bulawayo,"029 2243987, +263 712 221 284",https://www.zimplaza.co.zw/listing/black-rhino-safaris/,black rhino safaris,43a napier avenue bulawayo zimbabwe,{'black rhino safaris'}
Ark Creative Media,"1385 Mainway Meadows, Waterfalls, Harare, Zimbabwe",Harare,0771771038,https://www.zimplaza.co.zw/listing/ark-creative-media/,ark creative media,1385 mainway meadows waterfalls harare zimbabwe,{'ark creative media'}
Aurora Graphics (Pvt) Ltd,"114 Seke Rd, Graniteside, Harare, Zimbabwe",Harare,"+263 8644132997, 0719813827",https://www.zimplaza.co.zw/listing/aurora-graphics-pvt-ltd/,aurora graphics pvt ltd,114 seke rd graniteside harare zimbabwe,"{'aurora graphics pvt', 'graphics pvt ltd'}"
Chinawa Law Chambers,"12th Floor Causeway Building, Cnr 4th Street and Central Avenue, Harare, Zimbabwe",Harare,+263773301740,https://www.zimplaza.co.zw/listing/chinawa-law-chambers/,chinawa law chambers,12th floor causeway building cnr 4th street and central avenue harare zimbabwe,{'chinawa law chambers'}
Visuals By Vuyi,"Ridgeway North, Highlands, Harare, Zimbabwe",Harare,+263 777 651 128,https://www.zimplaza.co.zw/listing/visuals-by-vuyi/,visuals by vuyi,ridgeway north highlands harare zimbabwe,{'visuals by vuyi'}
Kcvisart – Architectural Design Studio,"No 14 Granta Road, Vainona, Harare, Zimbabwe",Harare,+263735439375,https://www.zimplaza.co.zw/listing/kcvisart-architectural-design-studio/,kcvisart architectural design studio,no 14 granta road vainona harare zimbabwe,"{'architectural design studio', 'kcvisart architectural design'}"
Cold Storage Company Limited,"Josiah Chinamano Road LIS Box 8307 Belmont, Bulawayo, Zimbabwe",Bulawayo,473 855/8,https://www.zimplaza.co.zw/listing/cold-storage-company-limited/,cold storage company limited,josiah chinamano road lis box 8307 belmont bulawayo zimbabwe,"{'storage company limited', 'cold storage company'}"
Nenjy Nyamapfene Law Practice,"4 Edmonds Avenue, Belvedere, Harare, Zimbabwe",Harare,0242 751 753,https://www.zimplaza.co.zw/listing/nenjy-nyamapfene-law-practice/,nenjy nyamapfene law practice,4 edmonds avenue belvedere harare zimbabwe,"{'nyamapfene law practice', 'nenjy nyamapfene law'}"
Coopers Garden Centre,"Rumbavu Park, Enterprise Rd. Harare, Zimbabwe",Harare,"+263 77 228 9410, +263 77 945 1583",https://www.zimplaza.co.zw/listing/coopers-garden-centre/,coopers garden centre,rumbavu park enterprise rd harare zimbabwe,{'coopers garden centre'}
Umpire Produce ‘n’ Water,"145 Robert Mugabe Way, Harare, Zimbabwe",Harare,+263774036070,https://www.zimplaza.co.zw/listing/umpire-produce-n-water/,umpire produce n water,145 robert mugabe way harare zimbabwe,"{'produce n water', 'umpire produce n'}"
Pastel Accounting Software,"3 Lezard Avenue, Milton Park, Harare, Zimbabwe",Harare,+263 4 773809,https://www.zimplaza.co.zw/listing/pastel-accounting-software/,pastel accounting software,3 lezard avenue milton park harare zimbabwe,{'pastel accounting software'}
Industrial Bags (Pvt) Ltd,"2945 Lomagundi Road, Bluffhill, Westgate, Harare, Zimbabwe",Harare,+263772348491,https://www.zimplaza.co.zw/listing/industrial-bags-pvt-ltd/,industrial bags pvt ltd,2945 lomagundi road bluffhill westgate harare zimbabwe,"{'industrial bags pvt', 'bags pvt ltd'}"
S A F C O,"72 Lytton Road Workington, Harare, Zimbabwe",Harare,664 576/9,https://www.zimplaza.co.zw/listing/s-a-f-c-o/,s a f c o,72 lytton road workington harare zimbabwe,"{'f c o', 'a f c', 's a f'}"
Crane 4 Hire,"1 Saint George's Street, Ardbennie, Harare, Zimbabwe",Harare,0773502892,https://www.zimplaza.co.zw/listing/crane-4-hire/,crane 4 hire,1 saint georges street ardbennie harare zimbabwe,{'crane 4 hire'}
Hydro-Well Water Engineering Pvt Ltd,"1 Kingsmead Road, Borrowdale, Harare, Zimbabwe",Harare,+263 718 898 964; +263 734 261 715,https://www.zimplaza.co.zw/listing/hydro-well-water-engineering-pvt-ltd/,hydrowell water engineering pvt ltd,1 kingsmead road borrowdale harare zimbabwe,"{'water engineering pvt', 'hydrowell water engineering', 'engineering pvt ltd'}"
Bain New Holland Divsion,"35 Douglas Road, Workington, Harare, Zimbabwe",Harare,"+263 242 621085/7 2911033, +263 0772 285 491/0772 285 490/0772 129 373",https://www.zimplaza.co.zw/listing/bain-new-holland-divsion/,bain new holland divsion,35 douglas road workington harare zimbabwe,"{'new holland divsion', 'bain new holland'}"
Glad Tidings Fellowship,"99 Park Lane, Harare, Zimbabwe",Harare,+263 4 251227,https://www.zimplaza.co.zw/listing/glad-tidings-fellowship/,glad tidings fellowship,99 park lane harare zimbabwe,{'glad tidings fellowship'}
INTERNATIONAL COACHING & MENTORING FOUNDATION,"74 Selous Avenue, Harare, Zimbabwe",Harare,+263 715 294 225,https://www.zimplaza.co.zw/listing/international-coaching-mentoring-foundation/,international coaching mentoring foundation,74 selous avenue harare zimbabwe,"{'coaching mentoring foundation', 'international coaching mentoring'}"
Fingold Real Estate,"19 Northampton Crescent, Harare, Zimbabwe",Harare,0771564110,https://www.zimplaza.co.zw/listing/fingold-real-estate/,fingold real estate,19 northampton crescent harare zimbabwe,{'fingold real estate'}
Foresight Property Development,"32 Seke Road, Hatfield, Harare, Zimbabwe",Harare,078 273 8560,https://www.zimplaza.co.zw/listing/foresight-property-development/,foresight property development,32 seke road hatfield harare zimbabwe,{'foresight property development'}
SAPPHIRE REAL ESTATE,"Suite3, Prince's Park Mansions, Samuel Parirenyatwa and Leopold Takawira, Bulawayo, Zimbabwe",Bulawayo,+263775816515,https://www.zimplaza.co.zw/listing/sapphire-real-estate/,sapphire real estate,suite3 princes park mansions samuel parirenyatwa and leopold takawira bulawayo zimbabwe,{'sapphire real estate'}
Antique Furniture Restorer,"Glen Lorne, Harare, Zimbabwe",Harare,+263774516298,https://www.zimplaza.co.zw/listing/antique-furniture-restorer/,antique furniture restorer,glen lorne harare zimbabwe,{'antique furniture restorer'}
Thermo Dynamics Refrigeration,"35 Rotten Row, Harare, Zimbabwe",Harare,"0733778888, 0773186136, 0773795222",https://www.zimplaza.co.zw/listing/thermo-dynamics-refrigeration/,thermo dynamics refrigeration,35 rotten row harare zimbabwe,{'thermo dynamics refrigeration'}
Associated Mine Workers,Ers Of Zimbabwe P O Box 384 Harare,Harare,700 287,https://www.zimbabweyp.com/company/14463/Associated_Mine_Workers,associated mine workers,ers of zimbabwe p o box 384 harare,{'associated mine workers'}
TSG CONSTRUCTION & ENGINEERING (PVT) LTD,"Number 1 Little Impali Shurugwi, Gweru, Zimbabwe",Gweru,"+263717247678, +263773542240",https://www.zimplaza.co.zw/listing/tsg-construction-engineering-pvt-ltd/,tsg construction engineering pvt ltd,number 1 little impali shurugwi gweru zimbabwe,"{'construction engineering pvt', 'engineering pvt ltd', 'tsg construction engineering'}"
Victoria Twenty Two,"22 Victoria Drive, Newlands, Harare, Zimbabwe",Harare,"(0242) 776429, 0732222222 / 23, +263 733464646",https://www.zimplaza.co.zw/listing/victoria-twenty-two/,victoria twenty two,22 victoria drive newlands harare zimbabwe,{'victoria twenty two'}
Total Farm Solutions,"3 Monmouth Road, Avondale, Harare, Zimbabwe",Harare,04 307 353,https://www.zimplaza.co.zw/listing/total-farm-solutions/,total farm solutions,3 monmouth road avondale harare zimbabwe,{'total farm solutions'}
Thermal Comfort (Pvt) Ltd,"18 Jefferson Rd, Hatfield, Harare, Zimbabwe",Harare,+263-772-444-544,https://www.zimplaza.co.zw/listing/thermal-comfort-pvt-ltd/,thermal comfort pvt ltd,18 jefferson rd hatfield harare zimbabwe,"{'thermal comfort pvt', 'comfort pvt ltd'}"
RazorStruct (Pvt) Ltd,"5 Boardman Close, Greendale, Harare, Zimbabwe",Harare,"0776426406, 0776426406",https://www.zimplaza.co.zw/listing/razorstruct-pvt-ltd/,razorstruct pvt ltd,5 boardman close greendale harare zimbabwe,{'razorstruct pvt ltd'}
Fine Line Media,"1 Adylinn Road. Marlborough. , Harare, Zimbabwe",Harare,+263 242 309 0822009,https://www.zimbabweyp.com/company/107425/Fine_Line_Media,fine line media,1 adylinn road marlborough harare zimbabwe,{'fine line media'}
Motor Accessories Center,"146 Nelson Mandela Avenue, Harare, Zimbabwe",Harare,0776217592,https://www.zimplaza.co.zw/listing/motor-accessories-center/,motor accessories center,146 nelson mandela avenue harare zimbabwe,{'motor accessories center'}
Zentcor Motor Fitment Centre,"68 Mundy Road, Harare, Zimbabwe",Harare,"+263775900005, +263718900005",https://www.zimplaza.co.zw/listing/zentcor-motor-fitment-centre/,zentcor motor fitment centre,68 mundy road harare zimbabwe,"{'motor fitment centre', 'zentcor motor fitment'}"
Car Keys Zim,"19276 Enterprise Road, Harare, Zimbabwe",Harare,"0772916795, 0772916795",https://www.zimplaza.co.zw/listing/car-keys-zim/,car keys zim,19276 enterprise road harare zimbabwe,{'car keys zim'}
Squiggles Stationery & Gift Shop,"Shop 5 Cabs House, Bond Street, Mount Pleasant, Harare, Zimbabwe",Harare,0772254934,https://www.zimplaza.co.zw/listing/squiggles-stationery-gift-shop/,squiggles stationery gift shop,shop 5 cabs house bond street mount pleasant harare zimbabwe,"{'squiggles stationery gift', 'stationery gift shop'}"
Rolling Ribs Butchery,"94 Herbert Chitepo Street, Bulawayo, Zimbabwe",Bulawayo,883 843,https://www.zimplaza.co.zw/listing/rolling-ribs-butchery/,rolling ribs butchery,94 herbert chitepo street bulawayo zimbabwe,{'rolling ribs butchery'}
Professional Motors Zim,"18334 Gaul Avenue, Harare, Zimbabwe",Harare,"0772638793, 0771662464",https://www.zimplaza.co.zw/listing/professional-motors-zim/,professional motors zim,18334 gaul avenue harare zimbabwe,{'professional motors zim'}
Friend Animal Foundation,"7 Kirkman Road, Tynwald, Harare, Zimbabwe",Harare,0773096680,https://www.zimplaza.co.zw/listing/friend-animal-foundation/,friend animal foundation,7 kirkman road tynwald harare zimbabwe,{'friend animal foundation'}
Gee’s Refrigeration & Air Conditioning,"50 PLUMTREE ROAD, BELMONT BULAWAYO, Harare, Zimbabwe",Harare,+263 9 468323 / 466657,https://www.zimplaza.co.zw/listing/gees-refrigeration-air-conditioning/,gees refrigeration air conditioning,50 plumtree road belmont bulawayo harare zimbabwe,"{'gees refrigeration air', 'refrigeration air conditioning'}"
Fapifer construction (Pvt) Ltd,"2 South avenue, Kwekwe, Zimbabwe",Kwekwe,0773283038,https://www.zimplaza.co.zw/listing/fapifer-construction-pvt-ltd/,fapifer construction pvt ltd,2 south avenue kwekwe zimbabwe,"{'fapifer construction pvt', 'construction pvt ltd'}"
LESHT CONSTRUCTION AND ENGINEERING,"35 Grenville Ave, West Somerton, Bulawayo, Zimbabwe",Bulawayo,"+263 9 473939, +263 772328297",https://www.zimplaza.co.zw/listing/lesht-construction-and-engineering/,lesht construction and engineering,35 grenville ave west somerton bulawayo zimbabwe,"{'lesht construction and', 'construction and engineering'}"
