number,title,url,domain,source,query,country,search_date,listing_urls,has_listings
33,"Parco nazionale e Riserva di Wrangell-St Elias, Alaska skyline: i …",https://wanderlog.com/it/list/geoCategory/1599352/parco-nazionale-e-riserva-di-wrangell-st-elias-skyline-i-edifici-più-iconici-e-le-migliori-viste-in-parco-nazionale-e-riserva-di-wrangell-st-elias,wanderlog.com,web_search,zimbabweypzimbabwe suppliers directory,Zimbabwe,2/12/2025,https://wanderlog.com/it/list/geoCategory/1599352/parco-nazionale-e-riserva-di-wrangell-st-elias-skyline-i-edifici-più-iconici-e-le-migliori-viste-in-parco-nazionale-e-riserva-di-wrangell-st-elias,True
35,Zimbabwe | Zimbabwe | Today's latest from Al Jazeera,https://www.aljazeera.com/where/zimbabwe,aljazeera.com,web_search,zimbabwe business listings,Zimbabwe,2/12/2025,,False
34,"Parco nazionale di Wrangell-St. Elias – guida, meteo e foto",https://wikiusa.org/it/parco-nazionale-di-wrangell-st-elias,wikiusa.org,web_search,zimbabweypzimbabwe suppliers directory,Zimbabwe,2/12/2025,https://wikiusa.org/it/parco-nazionale-di-wrangell-st-elias,True
36,Allianz Assistance | Travel & Automotive Insurance,https://www.allianz-assistance.ie/,allianz-assistance.ie,web_search,companies directory zimbabwe,Zimbabwe,2/12/2025,,False
37,Help and Advice | Allianz Assistance,https://www.allianz-assistance.ie/help-and-advice.html,allianz-assistance.ie,web_search,companies directory zimbabwe,Zimbabwe,2/12/2025,,False
38,File a Claim | Allianz Assistance,https://www.allianz-assistance.ie/help-and-advice/claim-centre.html,allianz-assistance.ie,web_search,companies directory zimbabwe,Zimbabwe,2/12/2025,,False
39,Contact Us | Allianz Assistance,https://www.allianz-assistance.ie/help-and-advice/contact-us.html,allianz-assistance.ie,web_search,companies directory zimbabwe,Zimbabwe,2/12/2025,,False
40,Policy Information | Allianz Assistance,https://www.allianz-assistance.ie/help-and-advice/policy-info.html,allianz-assistance.ie,web_search,companies directory zimbabwe,Zimbabwe,2/12/2025,,False
41,Get A Quote - Travel Insurance - Allianz Assistance,https://www.allianz-assistance.ie/travel-insurance-quote.html,allianz-assistance.ie,web_search,companies directory zimbabwe,Zimbabwe,2/12/2025,,False
42,Travel Insurance | Holiday Insurance | Allianz Assistance,https://www.allianz-assistance.ie/travel-insurance.html,allianz-assistance.ie,web_search,companies directory zimbabwe,Zimbabwe,2/12/2025,,False
43,Annual Multi Trip Travel Insurance | Allianz Assistance,https://www.allianz-assistance.ie/travel-insurance/annual-multi-trip-travel-insurance.html,allianz-assistance.ie,web_search,companies directory zimbabwe,Zimbabwe,2/12/2025,,False
44,Travel Insurance for Europe - Allianz Assistance,https://www.allianz-assistance.ie/travel-insurance/destinations/europe-travel-insurance.html,allianz-assistance.ie,web_search,companies directory zimbabwe,Zimbabwe,2/12/2025,,False
45,Single Trip Travel Insurance - Allianz Assistance,https://www.allianz-assistance.ie/travel-insurance/single-trip-travel-insurance.html,allianz-assistance.ie,web_search,companies directory zimbabwe,Zimbabwe,2/12/2025,,False
46,Parco Nazionale e Riserva Wrangell - St Elias - AllTrails,https://www.alltrails.com/it-it/parchi/us/alaska/wrangell-st-elias-national-park-preserve/waterfall,alltrails.com,web_search,zimbabweypzimbabwe suppliers directory,Zimbabwe,2/12/2025,,False
47,"Apple iPhone 13 Pro, 128GB, Graphite - Unlocked (Renewed)",https://www.amazon.com/Apple-iPhone-13-Pro-Graphite/dp/B09LP77GDL,amazon.com,web_search,zimbabweypzimbabwe suppliers directory,Zimbabwe,2/12/2025,,False
48,"Apple iPhone 13 Pro, 256GB, Graphite - Verizon (Renewed)",https://www.amazon.com/Apple-iPhone-Pro-256GB-Graphite/dp/B09LPPRJDY,amazon.com,web_search,zimbabweypzimbabwe suppliers directory,Zimbabwe,2/12/2025,,False
49,GEM Alpine Business School - amba-bga.com,https://www.amba-bga.com/schools/grenoble-cole-de-management,amba-bga.com,web_search,zimbabweypzimbabwe suppliers directory,Zimbabwe,2/12/2025,https://www.amba-bga.com/schools/grenoble-cole-de-management,True
50,Trade With Vikas for Android - Free App Download - AppBrain,https://www.appbrain.com/app/trade-with-vikas/co.ted.jytfr,appbrain.com,web_search,zimbabweypzimbabwe suppliers directory,Zimbabwe,2/12/2025,https://www.appbrain.com/app/trade-with-vikas/co.ted.jytfr,True
51,Refurbished iPhone 13 Pro 128GB - Graphite (Unlocked) - Apple,https://www.apple.com/us-edu/shop/product/FLTP3LL/A/refurbished-iphone-13-pro-128gb-graphite-unlocked,apple.com,web_search,zimbabweypzimbabwe suppliers directory,Zimbabwe,2/12/2025,https://www.apple.com/us-edu/shop/product/FLTP3LL/A/refurbished-iphone-13-pro-128gb-graphite-unlocked,True
52,Used & Refurbished iPhone 13 Pro Graphite | Back Market,https://www.backmarket.com/en-us/l/iphone-13-pro-graphite/5d6e4bd7-49c1-433c-b86d-8f66c80250bb?msockid=037034a2cfaa68f31c442214ce5969c2,backmarket.com,web_search,zimbabweypzimbabwe suppliers directory,Zimbabwe,2/12/2025,,False
54,"Zimbabwe | History, Map, Flag, Population, Capital, Pronunciation ...",https://www.britannica.com/place/Zimbabwe,britannica.com,web_search,zimbabwe business listings,Zimbabwe,2/12/2025,https://www.britannica.com/place/Zimbabwe,True
55,"Zimbabwe Business Directory, Yellow Pages | classifieds.co.zw",https://www.classifieds.co.zw/directory,classifieds.co.zw,web_search,yellow pages zimbabwe,Zimbabwe,2/12/2025,,False
56,Zimbabwe Yellow Pages - Cybo,https://www.cybo.com/zimbabwe/,cybo.com,web_search,yellow pages zimbabwe,Zimbabwe,2/12/2025,,False
57,GEM Alpine Business School | 3 Online Courses,https://www.distancelearningportal.com/universities/997/gem-alpine-business-school.html,distancelearningportal.com,web_search,zimbabweypzimbabwe suppliers directory,Zimbabwe,2/12/2025,,False
58,GEM Business School,https://www.gembusinessschool.com.ng/,gembusinessschool.com.ng,web_search,zimbabweypzimbabwe suppliers directory,Zimbabwe,2/12/2025,https://www.gembusinessschool.com.ng/,True
53,iphone 13 graphite - Best Buy,https://www.bestbuy.com/site/searchpage.jsp?id=pcat17071&st=iphone+13+graphite,bestbuy.com,web_search,zimbabweypzimbabwe suppliers directory,Zimbabwe,2/12/2025,,False
59,Google Chrome - The Fast & Secure Web Browser Built to be Yours,https://www.google.com/chrome/,google.com,web_search,zimbabweypzimbabwe suppliers directory,Zimbabwe,2/12/2025,https://www.google.com/chrome/,True
60,Google Chrome Web Browser,https://www.google.com/chrome/what-you-make-of-it/,google.com,web_search,zimbabweypzimbabwe suppliers directory,Zimbabwe,2/12/2025,https://www.google.com/chrome/what-you-make-of-it/,True
61,"Google Chrome – Download the fast, secure browser from Google",https://www.google.com/intl/en_uk/chrome/,google.com,web_search,zimbabweypzimbabwe suppliers directory,Zimbabwe,2/12/2025,https://www.google.com/intl/en_uk/chrome/,True
62,Grenoble Ecole de Management – GEM Alpine Busines School,https://www.grenoble-em.com/en,grenoble-em.com,web_search,zimbabweypzimbabwe suppliers directory,Zimbabwe,2/12/2025,https://www.grenoble-em.com/en,True
64,Trade With Vikas - Indus Appstore,https://www.indusappstore.com/apps/education/trade-with-vikas/co.ted.jytfr/?page=details&id=co.ted.jytfr,indusappstore.com,web_search,zimbabweypzimbabwe suppliers directory,Zimbabwe,2/12/2025,https://www.indusappstore.com/apps/education/trade-with-vikas/co.ted.jytfr/?page=details&id=co.ted.jytfr,True
63,"GEM becomes ""GEM Alpine Business School"" : a new identity for …",https://www.grenoble-em.com/en/news/gem-becomes-gem-alpine-business-school-a-new-identity-for-a-new-ambition,grenoble-em.com,web_search,zimbabweypzimbabwe suppliers directory,Zimbabwe,2/12/2025,https://www.grenoble-em.com/en/news/gem-becomes-gem-alpine-business-school-a-new-identity-for-a-new-ambition,True
66,GEM Alpine Business School | 27 Masters - Mastersportal.com,https://www.mastersportal.com/universities/997/gem-alpine-business-school.html,mastersportal.com,web_search,zimbabweypzimbabwe suppliers directory,Zimbabwe,2/12/2025,,False
65,Alpine Business School - Instagram,https://www.instagram.com/popular/alpine-business-school/,instagram.com,web_search,zimbabweypzimbabwe suppliers directory,Zimbabwe,2/12/2025,,False
67,Zimbabwe - Country Profile - Republic of Zimbabwe - South Africa,https://www.nationsonline.org/oneworld/zimbabwe.htm,nationsonline.org,web_search,zimbabwe business listings,Zimbabwe,2/12/2025,,False
69,GEM Alpine Business School | 1 PhDs | PhDportal,https://www.phdportal.com/universities/997/gem-alpine-business-school.html,phdportal.com,web_search,zimbabweypzimbabwe suppliers directory,Zimbabwe,2/12/2025,,False
68,Zimbabwe News | Breaking News & Top Zim Stories - NewsNow,https://www.newsnow.co.uk/h/World+News/Africa/Zimbabwe,newsnow.co.uk,web_search,zimbabwe business listings,Zimbabwe,2/12/2025,https://www.newsnow.co.uk/h/World+News/Africa/Zimbabwe,True
70,Pre-Owned Apple iPhone 13 Pro 5G GSM/CDMA Unlocked - Target,https://www.target.com/p/apple-iphone-13-pro-5g-pre-owned-unlocked-128gb-gsm-cdma-graphite/-/A-90296531,target.com,web_search,zimbabweypzimbabwe suppliers directory,Zimbabwe,2/12/2025,,False
71,Google Chrome Browser Download Free - 142.0.7444.176 | TechSpot,https://www.techspot.com/downloads/4718-google-chrome.html,techspot.com,web_search,zimbabweypzimbabwe suppliers directory,Zimbabwe,2/12/2025,,False
73,Courses - Trade With Vikas,https://www.tradewithvikas.in/courses,tradewithvikas.in,web_search,zimbabweypzimbabwe suppliers directory,Zimbabwe,2/12/2025,,False
72,Home - Trade With Vikas,https://www.tradewithvikas.in/,tradewithvikas.in,web_search,zimbabweypzimbabwe suppliers directory,Zimbabwe,2/12/2025,,False
75,How to end an email: The 100 most useful phrases,https://www.usingenglish.com/articles/100-most-useful-phrases-for-ending-emails.html,usingenglish.com,web_search,companies directory zimbabwe,Zimbabwe,2/12/2025,,False
74,Wrangell-St. Elias National Park & Preserve Visitor Center,https://www.tripadvisor.it/Attraction_Review-g143056-d4573297-Reviews-Wrangell_St_Elias_National_Park_Preserve_Visitor_Center-Wrangell_St_Elias_Nationa.html,tripadvisor.it,web_search,zimbabweypzimbabwe suppliers directory,Zimbabwe,2/12/2025,,False
76,Biofuels and the Environment - UsingEnglish.com,https://www.usingenglish.com/comprehension/42.html,usingenglish.com,web_search,companies directory zimbabwe,Zimbabwe,2/12/2025,,False
77,Describing companies from different countries - UsingEnglish.com,https://www.usingenglish.com/files/pdf/business-english-describing-companies.pdf,usingenglish.com,web_search,companies directory zimbabwe,Zimbabwe,2/12/2025,,False
78,present simple and continuous describing company and job,https://www.usingenglish.com/files/pdf/present-simple-and-continuous-for-describing-your-company-and-job.pdf,usingenglish.com,web_search,companies directory zimbabwe,Zimbabwe,2/12/2025,,False
79,[Vocabulary] - A person who serves drinks and food,https://www.usingenglish.com/forum/threads/a-person-who-serves-drinks-and-food.249359/,usingenglish.com,web_search,companies directory zimbabwe,Zimbabwe,2/12/2025,,False
80,Companie's vs. Company's | UsingEnglish.com ESL Forum,https://www.usingenglish.com/forum/threads/companies-vs-companys.59631/,usingenglish.com,web_search,companies directory zimbabwe,Zimbabwe,2/12/2025,,False
81,"[Grammar] - Do you need ""THE"" in front of an organization name?",https://www.usingenglish.com/forum/threads/do-you-need-the-in-front-of-an-organization-name.117340/,usingenglish.com,web_search,companies directory zimbabwe,Zimbabwe,2/12/2025,,False
82,Vocab/Grammar Test - All in one - My Answers Part 1,https://www.usingenglish.com/forum/threads/vocab-grammar-test-all-in-one-my-answers-part-1.173608/,usingenglish.com,web_search,companies directory zimbabwe,Zimbabwe,2/12/2025,,False
84,Business English- Describing Companies - UsingEnglish.com,https://www.usingenglish.com/teachers/lesson-plans/view-business-english-describing-companies/,usingenglish.com,web_search,companies directory zimbabwe,Zimbabwe,2/12/2025,,False
83,"List of regular plurals ending in -s, -es and -ies",https://www.usingenglish.com/teachers/articles/list-regular-plurals-ending-in-s-es-ies.html,usingenglish.com,web_search,companies directory zimbabwe,Zimbabwe,2/12/2025,,False
85,Wrangell St. Elias National Park: visitiamo il parco più grande …,https://www.viaggi-usa.it/wrangell-st-elias-national-park/,viaggi-usa.it,web_search,zimbabweypzimbabwe suppliers directory,Zimbabwe,2/12/2025,https://www.viaggi-usa.it/wrangell-st-elias-national-park/,True
86,Pre-Owned Apple iPhone 13 Pro - Carrier Unlocked - 128 GB Graphite,https://www.walmart.com/ip/Apple-iPhone-13-Pro-A2483-128GB-Graphite-US-Model-Factory-Unlocked-Cell-Phone-Excellent-Condition/1275454808,walmart.com,web_search,zimbabweypzimbabwe suppliers directory,Zimbabwe,2/12/2025,,False
87,Zimbabwe Maps & Facts - World Atlas,https://www.worldatlas.com/maps/zimbabwe,worldatlas.com,web_search,zimbabwe business listings,Zimbabwe,2/12/2025,https://www.worldatlas.com/maps/zimbabwe,True
88,zimbabweyp,https://www.zimbabweyp.com/browse-business-directory,zimbabweyp.com,web_search,zimbabweypzimbabwe suppliers directory,Zimbabwe,2/12/2025,https://www.zimbabweyp.com/browse-business-directory,True
89,英语中 Business 和 Commerce 有什么区别呢？ - 知乎,https://www.zhihu.com/question/19581923,zhihu.com,web_search,business directory zimbabwe,Zimbabwe,2/12/2025,,False
90,Company，Corporation，Incorporation，Enterprise，Firm 对应中 …,https://www.zhihu.com/question/24837502,zhihu.com,web_search,company directories in zimbabwe,Zimbabwe,2/12/2025,,False
91,Windows 10 business 和 consumer 中的专业版有什么不同？ - 知乎,https://www.zhihu.com/question/379426445,zhihu.com,web_search,business directory zimbabwe,Zimbabwe,2/12/2025,,False
92,图中三种版本的Win11有什么区别呢？ - 知乎,https://www.zhihu.com/question/600313078,zhihu.com,web_search,business directory zimbabwe,Zimbabwe,2/12/2025,,False
93,Windows的企业版和专业工作站版哪个更强？ - 知乎,https://www.zhihu.com/question/7439649051,zhihu.com,web_search,business directory zimbabwe,Zimbabwe,2/12/2025,,False
94,WIN 10哪个版本最稳定最流畅？ - 知乎,https://www.zhihu.com/question/9991552982,zhihu.com,web_search,business directory zimbabwe,Zimbabwe,2/12/2025,,False
95,Zimbabwe Situation - Daily news from Zimbabwe,https://www.zimbabwesituation.com/,zimbabwesituation.com,web_search,zimbabwe business listings,Zimbabwe,2/12/2025,https://www.zimbabwesituation.com/,True
96,Zimyellowpage - ZimPlaza Business Directory,https://www.zimplaza.co.zw/listing/zimyellowpage/,zimplaza.co.zw,web_search,yellow pages zimbabwe,Zimbabwe,2/12/2025,https://www.zimplaza.co.zw/listing/zimyellowpage/,True
97,Zimbabwe Yellow Pages Directory - Find Zimbabwe Yellow Pages - Zimbabwe …,https://www.zimyellow.com/,zimyellow.com,web_search,yellow pages zimbabwe,Zimbabwe,2/12/2025,https://www.zimyellow.com/,True
99,ERNST & YOUNG ZIMBABWE - Zimbabwe Yellow Pages,https://www.zimyellowpage.com/listings/category/ernest-young-zimbabwe,zimyellowpage.com,web_search,yellow pages zimbabwe,Zimbabwe,2/12/2025,https://www.zimyellowpage.com/listings/category/ernest-young-zimbabwe,True
100,accompany和company的区别_百度知道,https://zhidao.baidu.com/question/1442736554551286019.html,zhidao.baidu.com,web_search,company directories in zimbabwe,Zimbabwe,2/12/2025,,False
98,Zimbabwe Yellow Pages by Category,https://www.zimyellow.com/categories,zimyellow.com,web_search,yellow pages zimbabwe,Zimbabwe,2/12/2025,,False
101,@company.com为后缀的邮箱哪里申请啊？_百度知道,https://zhidao.baidu.com/question/1638364605614234300.html,zhidao.baidu.com,web_search,company directories in zimbabwe,Zimbabwe,2/12/2025,,False
102,BD是什么意思？_百度知道,https://zhidao.baidu.com/question/1651293663139400260.html,zhidao.baidu.com,web_search,business directory zimbabwe,Zimbabwe,2/12/2025,,False
103,Office2021激活密钥永久最新分享 - 百度知道,https://zhidao.baidu.com/question/1843356132244347660.html,zhidao.baidu.com,web_search,business directory zimbabwe,Zimbabwe,2/12/2025,,False
104,公司里说的BP是什么意思 - 百度知道,https://zhidao.baidu.com/question/275787749460138285.html,zhidao.baidu.com,web_search,business directory zimbabwe,Zimbabwe,2/12/2025,,False
105,in company with”和“ in the company of”的区别是什么_百度 ...,https://zhidao.baidu.com/question/436616749019328772.html,zhidao.baidu.com,web_search,company directories in zimbabwe,Zimbabwe,2/12/2025,,False
106,"""company""怎么变复数？？？_百度知道",https://zhidao.baidu.com/question/501890641.html,zhidao.baidu.com,web_search,company directories in zimbabwe,Zimbabwe,2/12/2025,,False
107,accompany companion company的区别_百度知道,https://zhidao.baidu.com/question/50954363.html,zhidao.baidu.com,web_search,company directories in zimbabwe,Zimbabwe,2/12/2025,,False
108,江苏省企业全链通综合服务平台怎么填报 - 百度知道,https://zhidao.baidu.com/question/637813618701195724.html,zhidao.baidu.com,web_search,business directory zimbabwe,Zimbabwe,2/12/2025,,False
109,江苏受益人备案操作填报流程 - 百度知道,https://zhidao.baidu.com/question/932543063403857659.html,zhidao.baidu.com,web_search,business directory zimbabwe,Zimbabwe,2/12/2025,,False
31,Yellow Pages Zimbabwe Companies & Services in Zimbabwe,https://thedirectory.co.zw/listings.cfm?Smartpages=Yellow+Pages+Zimbabwe,thedirectory.co.zw,web_search,yellow pages zimbabwe,Zimbabwe,2/12/2025,https://thedirectory.co.zw/listings.cfm?SmartPages,True
